epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,125.502,0.90606,0.86132,1.14673,0.23933,0.06555,0.05648,0.03589,1.06119,4.24087,1.81567,0.000540037,0.000540037,0.000540037
43,128.448,0.86356,0.87109,1.15144,0.02778,0.61111,0.05152,0.03015,1.05321,4.18029,1.70154,0.000531038,0.000531038,0.000531038
44,131.377,0.86159,0.85909,1.11315,0.028,0.68889,0.05411,0.03009,1.06144,4.12917,1.69733,0.000522039,0.000522039,0.000522039
45,134.303,0.91819,0.8649,1.12242,0.0249,0.56667,0.04699,0.02787,1.01215,4.17407,1.64989,0.00051304,0.00051304,0.00051304
46,137.303,0.85575,0.90734,1.1282,0.02213,0.44444,0.05481,0.03987,0.9624,4.12094,1.61415,0.00050404,0.00050404,0.00050404
47,140.219,0.81378,0.7653,1.09472,0.02335,0.54444,0.0774,0.05351,0.99672,3.99714,1.63087,0.000495041,0.000495041,0.000495041
48,143.166,0.83309,0.83513,1.12088,0.0213,0.54444,0.05458,0.03562,1.04971,4.15771,1.69436,0.000486042,0.000486042,0.000486042
49,146.131,0.86059,0.79859,1.11164,0.02105,0.43333,0.04037,0.02482,1.04373,4.3181,1.67685,0.000477043,0.000477043,0.000477043
50,149.062,0.86574,0.80262,1.07778,0.02609,0.42222,0.04397,0.0295,1.1773,4.78321,1.82033,0.000468044,0.000468044,0.000468044
51,152.012,0.85866,0.80934,1.10012,0.03093,0.45556,0.05398,0.03521,1.29367,4.81804,2.00413,0.000459045,0.000459045,0.000459045
52,154.982,0.88627,0.84938,1.11349,0.03248,0.52222,0.06503,0.04412,1.35554,4.70381,2.06947,0.000450046,0.000450046,0.000450046
53,157.968,0.79838,0.83968,1.11794,0.0341,0.47778,0.04531,0.03012,1.26127,4.58019,1.95508,0.000441047,0.000441047,0.000441047
54,160.939,0.8913,0.82152,1.12773,0.04181,0.40556,0.0564,0.036,1.17479,4.51687,1.84531,0.000432048,0.000432048,0.000432048
55,164,0.85851,0.79974,1.10615,0.03462,0.49444,0.05759,0.03557,1.16946,4.39887,1.83199,0.000423049,0.000423049,0.000423049
56,166.929,0.82147,0.75136,1.09503,0.04382,0.61667,0.07796,0.04767,1.08578,4.32714,1.74746,0.000414049,0.000414049,0.000414049
57,169.864,0.78437,0.74951,1.09577,0.04202,0.51667,0.07474,0.05002,1.10009,4.16642,1.76783,0.00040505,0.00040505,0.00040505
58,172.788,0.82046,0.73987,1.09341,0.03355,0.50556,0.05963,0.03745,1.115,4.28311,1.75969,0.000396051,0.000396051,0.000396051
59,175.72,0.78301,0.7619,1.08352,0.0309,0.48333,0.06221,0.03776,1.12101,4.34813,1.75824,0.000387052,0.000387052,0.000387052
60,178.624,0.80179,0.74301,1.1015,0.03405,0.50556,0.05691,0.03449,1.11409,4.3828,1.7434,0.000378053,0.000378053,0.000378053
61,181.54,0.83663,0.80484,1.10101,0.03666,0.50556,0.04978,0.0321,1.06793,4.62962,1.70421,0.000369054,0.000369054,0.000369054
62,184.466,0.79221,0.73339,1.08046,0.03402,0.48889,0.03697,0.02491,1.03891,4.75632,1.65884,0.000360055,0.000360055,0.000360055
63,187.456,0.7333,0.72879,1.05627,0.03168,0.43333,0.03574,0.02591,1.00647,4.73159,1.65507,0.000351056,0.000351056,0.000351056
64,190.376,0.78825,0.723,1.10088,0.02586,0.43333,0.03071,0.02254,0.99831,4.80388,1.66113,0.000342057,0.000342057,0.000342057
65,193.278,0.75096,0.70452,1.05246,0.02907,0.46667,0.04498,0.03237,0.99714,4.8129,1.65203,0.000333058,0.000333058,0.000333058
66,196.221,0.77635,0.71377,1.06436,0.04523,0.58333,0.06294,0.04029,1.05452,4.88083,1.76351,0.000324058,0.000324058,0.000324058
67,199.133,0.7446,0.68687,1.06495,0.05234,0.52778,0.07752,0.04604,1.14255,4.59624,1.87724,0.000315059,0.000315059,0.000315059
68,202.046,0.73048,0.67841,1.07573,0.0501,0.49444,0.07554,0.0461,1.14426,4.50634,1.90561,0.00030606,0.00030606,0.00030606
69,204.979,0.76473,0.69895,1.05932,0.04914,0.49444,0.08142,0.05445,1.10156,4.52707,1.84756,0.000297061,0.000297061,0.000297061
70,207.981,0.74667,0.66698,1.05592,0.04416,0.45,0.06975,0.04298,1.09105,4.55787,1.84701,0.000288062,0.000288062,0.000288062
71,210.926,0.74692,0.67824,1.04758,0.04619,0.57222,0.0685,0.04298,1.11918,4.60667,1.88958,0.000279063,0.000279063,0.000279063
72,213.843,0.70643,0.64568,1.03221,0.05218,0.62778,0.07555,0.04809,1.11708,4.62596,1.89341,0.000270064,0.000270064,0.000270064
73,216.837,0.69455,0.64561,1.05059,0.04658,0.49444,0.07232,0.04456,1.11678,4.59273,1.90006,0.000261065,0.000261065,0.000261065
74,219.892,0.73085,0.67054,1.05353,0.04197,0.49444,0.07139,0.04196,1.12581,4.55321,1.90418,0.000252066,0.000252066,0.000252066
75,222.877,0.67255,0.61734,1.0194,0.03971,0.49444,0.06861,0.04153,1.1471,4.52592,1.95286,0.000243067,0.000243067,0.000243067
76,225.823,0.75739,0.66593,1.06954,0.03858,0.49444,0.07075,0.0449,1.17738,4.41774,1.99089,0.000234068,0.000234068,0.000234068
77,228.776,0.70205,0.66689,1.03016,0.04728,0.6,0.08367,0.05358,1.18457,4.3601,2.05922,0.000225068,0.000225068,0.000225068
78,231.79,0.7009,0.61237,1.02514,0.04384,0.58333,0.08632,0.05637,1.15663,4.47023,1.98137,0.000216069,0.000216069,0.000216069
79,234.856,0.70485,0.66991,1.02199,0.04534,0.58333,0.08947,0.06106,1.11933,4.45946,1.90762,0.00020707,0.00020707,0.00020707
80,237.908,0.68389,0.61998,1.03493,0.05363,0.58333,0.09742,0.06399,1.07507,4.48677,1.84164,0.000198071,0.000198071,0.000198071
81,240.857,0.68146,0.64125,1.01893,0.0556,0.55,0.09907,0.06759,1.07641,4.55213,1.83038,0.000189072,0.000189072,0.000189072
82,243.918,0.65398,0.60144,1.02283,0.05037,0.49444,0.07824,0.04893,1.09419,4.61339,1.86294,0.000180073,0.000180073,0.000180073
83,246.845,0.65464,0.59013,1.0184,0.04526,0.46111,0.06906,0.04225,1.08934,4.54929,1.87467,0.000171074,0.000171074,0.000171074
84,249.799,0.69351,0.6143,1.02833,0.04384,0.46111,0.06879,0.04142,1.06978,4.48517,1.85502,0.000162075,0.000162075,0.000162075
85,252.768,0.67644,0.61753,1.01522,0.04574,0.46111,0.07116,0.04463,1.0569,4.39011,1.86253,0.000153076,0.000153076,0.000153076
86,255.709,0.63178,0.57523,0.99682,0.04083,0.42778,0.07722,0.05179,1.0426,4.42561,1.86296,0.000144077,0.000144077,0.000144077
87,258.614,0.64616,0.58634,1.03074,0.04649,0.46111,0.07676,0.05282,1.03362,4.48647,1.84576,0.000135077,0.000135077,0.000135077
88,261.553,0.6777,0.61666,1.02965,0.05026,0.46111,0.08014,0.05894,1.04141,4.49566,1.84409,0.000126078,0.000126078,0.000126078
89,264.531,0.66648,0.61199,1.00576,0.0512,0.42778,0.0796,0.05875,1.03021,4.44741,1.83446,0.000117079,0.000117079,0.000117079
90,267.455,0.64948,0.58217,0.99844,0.05535,0.46111,0.08053,0.05328,1.0368,4.34627,1.8569,0.00010808,0.00010808,0.00010808
91,273.614,0.66577,0.66009,1.03599,0.0464,0.46111,0.07747,0.04078,1.10102,4.5364,1.9057,9.9081e-05,9.9081e-05,9.9081e-05
92,276.538,0.65853,0.62975,1.00225,0.04267,0.5,0.08017,0.0389,1.04625,4.56849,1.83374,9.00819e-05,9.00819e-05,9.00819e-05
93,279.514,0.64991,0.62869,0.98861,0.03135,0.5,0.06083,0.03028,1.03469,4.59195,1.83001,8.10828e-05,8.10828e-05,8.10828e-05
94,282.474,0.61885,0.60727,0.98263,0.02625,0.5,0.03929,0.01722,1.05871,4.69663,1.82953,7.20837e-05,7.20837e-05,7.20837e-05
95,285.383,0.60718,0.5903,0.95692,0.02388,0.46667,0.03372,0.01719,1.07004,4.75687,1.8655,6.30846e-05,6.30846e-05,6.30846e-05
96,288.368,0.594,0.56962,0.95474,0.02452,0.48889,0.03434,0.02075,1.08785,4.86754,1.8907,5.40855e-05,5.40855e-05,5.40855e-05
97,291.288,0.60423,0.57463,0.9629,0.02313,0.44444,0.03522,0.02183,1.08816,4.97141,1.88924,4.50864e-05,4.50864e-05,4.50864e-05
98,294.21,0.59604,0.55753,0.95774,0.02319,0.44444,0.03688,0.02324,1.09072,5.05159,1.89097,3.60873e-05,3.60873e-05,3.60873e-05
99,297.202,0.58785,0.59025,0.96312,0.02348,0.44444,0.03646,0.02215,1.08909,5.07681,1.8989,2.70882e-05,2.70882e-05,2.70882e-05
100,300.117,0.58194,0.56564,0.93391,0.02533,0.46667,0.03951,0.02237,1.08612,5.07647,1.91279,1.80891e-05,1.80891e-05,1.80891e-05
